Word,Prefix1,Root,Wordlength
impossible,im,possible,10
disbelieve,dis,believe,10
misfortune,mis,fortune,10
rediscover,re,discover,10
understate,under,state,10
disappoint,dis,appoint,10
disconnect,dis,connect,10
discourage,dis,courage,10
disapprove,dis,approve,10
outperform,out,perform,10
procreate,pro,create,9
disappear,dis,appear,9
discredit,dis,credit,9
infertile,in,fertile,9
overreact,over,react,9
undersold,under,sold,9
rethought,re,thought,9
underline,under,line,9
underpass,under,pass,9
overreach,over,reach,9
unicycle,uni,cycle,8
outsmart,out,smart,8
disagree,dis,agree,8
outshine,out,shine,8
overcook,over,cook,8
entangle,en,tangle,8
dishonor,dis,honor,8
nonsense,non,sense,8
overstep,over,step,8
impolite,im,polite,8
repaint,re,paint,7
devalue,de,value,7
preview,pre,view,7
enslave,en,slave,7
upstage,up,stage,7
upgrade,up,grade,7
illegal,il,legal,7
immoral,im,moral,7
inspect,in,spect,7
degrade,de,grade,7
extract,ex,tract,7
enclose,en,close,7
dislike,dis,like,7
nonstop,non,stop,7
recycle,re,cycle,7
insert,in,sert,6
unreal,un,real,6
misuse,mis,use,6
reread,re,read,6
exhale,ex,hale,6
unread,un,read,6
disbar,dis,bar,6
inhale,in,hale,6
encase,en,case,6
export,ex,port,6
import,im,port,6
unrest,un,rest,6
debug,de,bug,5
uncut,un,cut,5
untie,un,tie,5
unarm,un,arm,5
renew,re,new,5
enact,en,act,5
enjoy,en,joy,5
reset,re,set,5
rerun,re,run,5
repay,re,pay,5
