Word,Root,Suffix1,Wordlength
allurement,allure,ment,10
amateurism,amateur,ism,10
yellowness,yellow,ness,10
weaponless,weapon,less,10
vertically,vertical,ly,10
theatrical,thatric,al,10
translator,translat,or,10
scepticism,sceptic,ism,10
straighter,straight,er,10
hollowness,hollow,ness,10
yellowest,yellow,est,9
whisperer,whisper,er,9
weirdness,weird,ness,9
vulgarism,vulgar,ism,9
vulgarity,vulgar,ity,9
adaptable,adapt,able,9
tolerance,toler,ance,9
clearance,clear,ance,9
delicious,delic,ious,9
beautiful,beauti,ful,9
scientist,scient,ist,9
tattooist,tattoo,ist,9
teachable,teach,able,9
tenseness,tense,ness,9
styleless,style,less,9
sterilize,steril,ize,9
alienate,alien,ate,8
womanize,woman,ize,8
wrestler,wrestl,er,8
yellower,yellow,er,8
trustful,trust,ful,8
seasonal,season,al,8
friendly,friend,ly,8
solvable,solv,able,8
sprinter,sprint,er,8
graceful,grace,ful,8
homeless,home,less,8
hopeless,hope,less,8
stricter,sctrict,er,8
highness,high,ness,8
sickness,sick,ness,8
tartness,tart,ness,8
tearless,tear,less,8
sportive,sport,ive,8
solidify,solid,ify,8
sourness,sour,ness,8
whitest,whit,est,7
weirdly,weird,ly,7
reliant,reli,ant,7
defiant,defi,ant,7
tearful,tear,ful,7
hopeful,hope,ful,7
tallest,tall,est,7
watcher,watch,er,7
weirder,weird,er,7
drummer,drumm,er,7
whiter,whit,er,6
warmer,warm,er,6
softly,soft,ly,6
heroic,hero,ic,6
iconic,icon,ic,6
sexist,sex,ist,6
surfer,surf,er,6
yearly,year,ly,6
orally,oral,ly,6
snorer,snor,er,6
odder,odd,er,5
paler,pal,er,5
lamer,lam,er,5
skier,ski,er,5
shyly,shy,ly,5
gayer,gay,er,5
usage,us,age,5
actor,act,or,5
eater,eat,er,5
wetly,wet,ly,5
