Suffix1,Suffix2,PermutedSuffix1,PermutedSuffix2,Example1,Example2
able,ment,albe,nemt,respectablement,misérablement
iv,ité,vi,tié,festivité,relativité
iv,al,vi,la,festival,
al,isme,la,isem,radicalism,socialism
aire,ment,arie,nemt,volontairement,temporairement
euse,ment,eseu,nemt,voluptueusement,bigoureusement
ion,aire,oin,arie,visionaire,
ale,ment,ela,nemt,triomphalement,socialement
ique,ment,equi,nemt,tragiquement,spécifiquement
ive,ment,evi,nemt,tardivement,successivement
elle,ment,elel,nemt,textuellement,traditionellement
al,iste,la,eist,traditionaliste,socialiste
ment,aire,nemt,arie,supplémentaire,complémentaire
al,ité,la,tié,criminalité,finalité
ière,ment,eriè,nemt,financièrement,familièrement
ionn,el,inno,le,obsessionnel,opérationnel
am,ment,ma,nemt,notamment,suffisamment
