Word,Prefix1,Root,Wordlength,Frequency
impossible,im,possible,10,158.61
découverte,dé,couverte,10,94.9
recouverte,re,couverte,10,8.19
transporte,trans,porte,10,3.56
transperce,trans,perce,10,3.5
déshonneur,dés,honneur,10,3.28
interphone,inter,phone,10,1.58
infrarouge,infra,rouge,10,1.46
inefficace,in,efficace,10,0.98
entrejambe,entre,jambe,10,0.8
contrecœur,contre,cœur,10,0.69
découvert,dé,couvert,9,50.67
désespoir,dés,espoir,9,10.62
indiscret,in,discret,9,4.98
réconfort,ré,confort,9,4.71
recouvert,re,couvert,9,3.1
désaccord,dés,accord,9,3.02
décompose,dé,compose,9,2.11
surcharge,sur,charge,9,1.79
incorrect,in,correct,9,1.67
infortune,in,fortune,9,1.3
poursuit,pour,suit,8,67.32
remarque,re,marque,8,20.19
désordre,dés,ordre,8,13.64
immobile,im,mobile,8,8.02
recourir,re,courir,8,7.88
déplaire,dé,plaire,8,6.97
infidèle,in,fidèle,8,6.14
démontre,dé,montre,8,5.77
instable,in,stable,8,5.48
surpasse,sur,passe,8,4.32
invalide,in,valide,8,4.14
ensuite,en,suite,7,127.92
dérange,dé,range,7,127.7
refaire,re,faire,7,55.43
inconnu,in,connu,7,47.39
illégal,il,légal,7,19.89
injuste,in,juste,7,17.46
prévoir,pré,voir,7,14.09
défonce,dé,fonce,7,10.12
coopère,co,opère,7,9.87
indigne,in,digne,7,8.79
revoilà,re,voilà,7,7.56
informe,in,forme,7,6.43
prénom,pré,nom,6,25.88
pourvu,pour,vu,6,18.94
survie,sur,vie,6,11.64
surnom,sur,nom,6,7.79
détour,dé,tour,6,6.82
dégoût,dé,goût,6,6.02
relire,re,lire,6,5.32
impoli,im,poli,6,4.22
irréel,ir,réel,6,2.91
inapte,in,apte,6,1.3
enfin,en,fin,5,265.83
remet,re,met,5,138.17
enfui,en,fui,5,61.79
prévu,pré,vu,5,61.3
revue,re,vue,5,33.09
envol,en,vol,5,2.48
impur,im,pur,5,1.44
relit,re,lit,5,0.22
