Word,Prefix1,Root,Suffix1,Wordlength,Frequency
incroyable,in,croy,able,10,95.79
inhabituel,in,habitu,el,10,8.87
enlèvement,en,lève,ment,10,7.8
inoffensif,in,offens,if,10,7.78
inévitable,in,évit,able,10,7.44
redoutable,re,doiut,able,10,5.94
insouciant,in,souci,ant,10,3.21
irrégulier,ir,régul,ier,10,2.95
impensable,im,pens,able,10,2.91
imbattable,im,batt,able,10,1.86
assurance,as,sur,ance,9,29.8
dégoûtant,dé,goût,ant,9,20.53
invisible,in,vis,ible,9,17.28
précédant,pré,céd,ant,9,13
détention,dé,tent,ion,9,6.85
injustice,in,just,ice,9,6.59
inaudible,in,aud,ible,9,5.34
emmerdeur,em,merd,eur,9,5.17
emballage,em,ball,age,9,4.6
impulsion,im,puls,ion,9,4.59
imprudent,im,prud,ent,9,4.36
incertain,in,cert,ain,9,4.24
provenant,pro,ven,ant,9,3.74
prévisible,pré,vis,ion,9,3.28
entourage,en,tour,age,9,3
ingénieux,in,géni,eux,9,2.9
confrérie,con,frér,ie,9,2.86
irruption,ir,rupt,ion,9,2.79
incurable,in,cur,able,9,2.7
incessant,in,cess,ant,9,1.79
endurance,en,dur,ance,9,1.72
impudence,im,pud,ence,9,1.27
revendeur,re,vend,eur,9,1.2
réaction,ré,act,ion,8,26.4
immortel,im,mort,el,8,7.26
réacteur,re,act,eur,8,5.24
dévotion,dé,vot,ion,8,2.34
impulsif,im,puls,if,8,2.29
assureur,as,sur,eur,8,1.93
immuable,im,mu,able,8,1.64
dérision,dé,ris,ion,8,1.27
enivrant,en,ivr,ant,8,1.2
impunité,im,pun,ité,8,0.93
indolore,in,dol,ore,8,0.69
infinité,in,fin,ité,8,0.6
impurité,im,pur,ité,8,0.41
démineur,dé,min,eur,8,0.17
enfilade,en,fil,ade,8,0.16
dévoreur,dé,vor,eur,8,0.16
inusable,in,us,able,8,0.16
inaction,in,act,ion,8,0.12
entêtant,en,têt,ant,8,0.05
réunion,ré,un,ion,7,56.83
infinie,in,fin,ie,7,4.87
renégat,re,nég,at,7,1.45
déloger,dé,log,er,7,1.17
reliure,re,li,ure,7,0.67
déminer,dé,min,er,7,0.01
dénudé,dé,nu,dé,6,0.9
